ID,IssueDateTime,DeclarationOfficeID,ProcessType,TransactionNature,Type,PaymentType,BorderTransportMeans,DeclarerID,ImporterID,SellerID,ExpressID,ClassificationID,ExportationCountry,OriginCountry,TaxRate,DisplayIndicator,DutyRegime,TotalGrossMassMeasure(KG),AdValoremTaxBaseAmount(Won),Fake
88763051,2020-01-02,40,B,11,21,11,40,DGJU3II,8CD67PT,ZFMR2SK,,8543709090,US,MX,8.0,A,G,145.3,3661.56,0
23890048,2020-01-02,40,B,11,21,11,10,MKP9Y8X,TK74OCK,535A147,,3923500000,CN,CN,0.0,FCN1,B,596.5,4533.4,0
92090990,2020-01-02,40,B,11,21,12,10,GPIJPW0,X8RZ7W3,V7U393R,,8542391000,CN,TW,0.0,CIT,S,3.0,125.4,0
85979346,2020-01-02,20,B,11,21,11,10,FG66YE1,3DWUYUH,,,303895000,CN,CN,10.0,A,S,23760.0,5334120.0,0
47262598,2020-01-02,40,B,11,21,11,10,E5BS5N9,FWVNMKK,7I78DLS,,9619001090,JP,JP,0.0,C,Y,6015.3,2382660.33,0
46906261,2020-01-02,40,B,11,26,11,10,23TMRU0,8V26T1Y,6ABP8C6,,305593000,CN,RU,20.0,A,Y,14000.0,14562800.0,0
29159304,2020-01-02,40,B,11,21,11,40,IQRINEQ,BEPLXNA,TPAJHUX,,7318290000,HK,FR,8.0,A,G,1.0,54.0,0
71708159,2020-01-02,33,B,11,21,11,10,GUBK2FH,0NKK1VW,MT4M2KC,,4202211090,SG,IT,8.0,A,G,1.8,55.440000000000005,0
61914151,2020-01-02,40,B,11,21,11,10,GO1EBDS,IBQ5792,TIDCL0O,,8543909090,HK,CN,0.0,CIT,G,21.8,394.58,1
41337073,2020-01-02,62,B,11,21,11,10,8MTRQLF,2PC1TP3,4Q9LXZS,,8517703069,HK,CN,0.0,CIT,G,6.0,14508.0,0
73012265,2020-01-02,20,B,87,21,33,10,23KXTV6,558TO8A,EBAHJLA,,9608100000,CN,CN,8.0,A,G,10.0,107.0,0
47597890,2020-01-02,40,B,94,21,11,10,44F36R4,F3VHSLH,JIYLOGV,,6110909000,IT,IT,0.0,FEU1,G,1.8,6.84,1
62348202,2020-01-02,62,B,11,21,11,40,QND7HJX,HJ9KHKH,GDRFD2Z,,8207501090,CA,CA,0.0,FCA1,Y,30.0,12138.0,0
58345164,2020-01-02,20,B,11,21,11,40,M64ILNR,94JKKZQ,KM4PWGG,,8543702090,CN,CN,8.0,A,S,2.0,23.2,1
90884402,2020-01-02,30,B,11,21,43,10,SL2P7II,NMPSEZL,,,1517909000,TH,TH,8.0,A,G,250.0,146650.0,0
20618979,2020-01-02,100,B,88,21,11,40,HUIUK4E,7VL1F4J,BTG7IBS,7REXEI,9503003491,CN,CN,8.0,A,E,15.0,5628.0,0
82504265,2020-01-02,20,B,83,26,11,10,E3Q8ABV,86UPTI0,9QUU28W,,1701142000,SV,SV,0.0,FCESV1,G,1483000.0,225564300.0,0
16038955,2020-01-02,20,B,11,21,14,10,IBDU122,I0FAGOU,KIO9FBA,LM3SJ4,9026802000,IS,IS,0.0,C,E,1.0,2861.5,0
98850234,2020-01-02,20,B,11,21,11,10,ZNRJ3PF,7PB5KBF,85IZKNE,,8526109000,JP,JP,2.5,C,E,308.0,186278.4,0
94844110,2020-01-02,30,B,11,21,11,10,HKEF2UA,BL1A531,F8VJJE0,W6UCD9,8544492090,CN,CN,8.0,A,G,1.5,475.8,0
85300649,2020-01-02,40,B,11,21,43,40,NZYZ967,IZCM00P,30W9LL4,,5402339000,IN,IN,0.0,FIN1,G,22638.0,12484857.0,0
20235873,2020-01-02,40,B,11,21,11,40,H3RWZG0,KH22IR8,ZYZ8542,,3915909000,KR,JP,6.5,C,E,26680.0,0.0,0
49727099,2020-01-02,40,B,84,21,11,10,DB9B0VN,WKYD9PA,LXC04XL,,6806103000,CN,CN,8.0,A,B,6826.0,2496268.2,0
21502935,2020-01-02,40,B,94,21,11,50,WQO6QJN,LCLFR9L,WVDYHTO,,8541902000,CN,CN,0.0,C,S,750.0,9367950.0,0
81279839,2020-01-02,100,B,11,11,11,40,NAILZPA,BHW0CV4,GVKDN2M,,9405999000,CA,CA,8.0,A,B,9.0,307.8,0
95807342,2020-01-02,53,B,11,21,18,10,6D4DNS7,94Y4ED6,T09IW2P,W6UCD9,6204629000,CN,CN,13.0,A,G,53.0,7435.900000000001,1
93079560,2020-01-02,13,B,11,21,11,30,EJW9AY4,USUDVBN,M6DTXEO,,8714990000,CN,CN,8.0,A,E,34.0,227.8,0
74205822,2020-01-02,40,B,11,21,43,10,MS0RIHL,AI23280,5J808M8,W6UCD9,9506910000,CN,CN,3.2,FCN1,Y,150.0,2040.0,1
79704187,2020-01-02,20,B,11,21,11,10,6LV96I6,IIDZLF9,FTU1BT1,,9401699000,CN,CN,0.0,C,S,3520.0,252736.0,0
20497999,2020-01-02,40,B,11,21,11,10,H3RWZG0,NM2TUMG,,,8443992000,US,US,0.0,C,G,1.4,6975.5,0
60223739,2020-01-02,30,B,11,21,11,10,NAILZPA,NPF7YMM,,,9506310000,US,CN,8.0,A,E,30.0,12975.0,1
51934990,2020-01-02,20,B,11,21,43,40,31R3APF,K822LFR,I7YSPVY,MWIDNS,8542391000,JP,JP,0.0,C,E,33.8,1412.8399999999997,0
68724809,2020-01-02,54,B,11,21,43,10,6V8QPPW,SNJ8XYT,Q9M79KC,,1302199099,CN,CN,8.0,A,E,100.0,19760.0,1
38558598,2020-01-02,33,B,11,21,0,40,5U5EWL2,YK0VDE5,OD81EK2,,8451909000,CN,CN,0.0,FCN1,S,79.0,6043.5,0
19026061,2020-01-02,40,B,11,21,11,40,1XCM1XF,52V8T8F,HLYJR44,,3906909000,JP,JP,8.0,A,E,2430.0,141426.0,0
69741528,2020-01-02,21,B,11,21,11,10,RBKRC5B,STFNJL9,86XLHVJ,,6206401000,CN,CN,13.0,A,B,69.9,1335.09,0
27542752,2020-01-02,40,B,11,21,11,40,LX5UCF2,IJWLMYP,RGS3TGJ,,511100000,US,US,0.0,A,B,0.3,1758625.5,0
88896263,2020-01-02,40,B,11,21,11,10,9Z8AYH4,V3VFLVU,,,6307909000,CN,CN,10.0,A,G,15.0,34.5,0
41354135,2020-01-02,40,B,11,21,11,10,PF1L1IG,M0097L1,8Y5COWT,,3304991000,JP,JP,6.5,C,G,12.2,2172.82,0
77314587,2020-01-02,40,B,11,21,43,10,5PDPMM1,WEDZUDV,L6RKXQJ,LC6XBR,4016999000,CN,CN,8.0,A,B,2.7,48.870000000000005,0
84375670,2020-01-02,20,B,88,21,43,40,MRI5C77,JSF7IU3,GG0TEAZ,,8418991000,CN,CN,0.0,FCN1,B,2562.1,1914401.12,0
56068420,2020-01-02,40,B,11,11,11,90,5HSGTXO,H27ZHR5,ZFOTQ78,,4819200000,CN,CN,0.0,C,G,17.0,10.2,0
59829192,2020-01-02,30,B,11,21,14,40,PF1L1IG,0NZ69ZL,,,6202131000,CN,CN,6.5,E1,B,3.0,43.8,0
77760135,2020-01-02,16,B,11,21,11,10,VK8SOUK,LJMLRBY,XV3ILUY,,8543702090,NL,KR,8.0,A,Y,95.0,1102.0,0
95687027,2020-01-02,20,A,11,21,11,40,ZMPZ6CU,81RTGJM,F3AYXK2,,6115960000,CN,CN,13.0,A,S,100.0,1460.0,0
22820559,2020-01-02,13,B,11,15,11,40,OQTHBF0,OXBATPR,0SXM0WV,,2005999000,CN,CN,18.0,FCN1,G,3604.0,341298.8,0
78384520,2020-01-02,40,B,11,21,11,10,9Z8AYH4,MGA7B2J,W98YUF4,,8518309000,CN,CN,4.8,FCN1,Y,6168.5,667431.7000000001,0
63290462,2020-01-02,40,B,11,21,11,10,6EREC3Y,PR11V5N,ZNA4205,,6211399000,HU,HU,13.0,A,B,0.5,292.6,1
68177847,2020-01-02,30,B,11,21,43,10,9ZEZ28S,QQ363P7,S8R405I,,8465991000,JP,JP,8.0,A,B,1815.0,63161.99999999999,0
89567377,2020-01-02,20,B,11,21,11,10,HKEF2UA,DG8WM1T,5VLI481,MWIDNS,1601001000,ES,ES,0.0,FEU1,G,278.3,199234.97,0
28185482,2020-01-02,16,B,94,21,11,40,Q1017CC,M078YIN,7CNLQIV,FDLUKP,6211331000,CN,CN,13.0,A,E,55.0,10587.5,0
76536712,2020-01-02,40,B,11,21,11,40,AZI5L7O,B94O5TB,2N50AJC,,8512900000,CN,CN,8.0,A,B,332.0,36420.4,0
20066545,2020-01-02,40,B,11,21,11,40,BXTMU7D,DDK6JMT,E6PSKLI,,2106909099,FI,FI,0.0,FEU1,B,114.8,14522.2,1
67762287,2020-01-02,30,B,11,21,14,10,CXWWNWO,3Z5L1PO,S1VM86P,,8708920000,US,US,8.0,A,E,217.8,35784.54,1
90050158,2020-01-02,20,B,87,21,11,10,3L9AEFP,VKGLWT9,RH0IVYD,W6UCD9,3403193000,DE,DE,6.5,C,G,5280.0,3607296.000000001,0
75248406,2020-01-02,20,B,11,21,11,10,ZQJIYI3,LQ83I4H,C9DXOFP,,3926909000,CN,CN,6.5,C,E,140.0,84.0,0
71565156,2020-01-02,13,B,11,23,11,10,B3V2GFE,5NAQR71,OACSQAD,,8415900000,HK,CN,8.0,A,S,9.0,1061.1,0
30755156,2020-01-02,20,B,29,21,33,10,7O9Q8P3,47BL9FL,7WG9ICV,,710807000,CN,CN,27.0,A,E,110000.0,29172000.0,0
58899743,2020-01-02,20,B,11,21,11,10,6H2BKO4,1LEETNA,DCM6O9R,AT9SIZ,3105200000,CN,CN,3.4,FCN1,E,304000.0,15777600.0,0
63459796,2020-01-02,20,B,11,21,11,40,GPIJPW0,5RYZMVO,,VZIZJJ,1605542099,CN,CN,20.0,A,E,16000.0,15064000.0,1
61031366,2020-01-02,16,B,11,11,11,40,PF1L1IG,BFW3Y4A,NY1CTLN,,4811902090,JP,JP,0.0,C,E,4.7,1650.64,1
18391392,2020-01-02,20,B,11,21,11,10,PF1L1IG,9A3PPR9,F1STDLL,MWIDNS,8415900000,HK,CN,8.0,A,E,9.0,1061.1,0
43889358,2020-01-02,30,B,87,21,11,40,1U0VYZN,TVIMF51,IJU71LU,MAD31N,8539491090,US,US,0.0,FUS1,E,30.0,50535.0,0
65037305,2020-01-02,20,B,11,21,11,10,LYKEHJV,XANJ3JW,ZR51MQY,HE8ATP,6204520000,FR,RS,13.0,A,G,4.0,202.0,0
29060223,2020-01-02,40,B,11,21,11,10,FOSYTA1,UN1R31H,P5KJOIV,,5806200000,CN,CN,0.0,FCN1,E,6.6,469.25999999999993,0
42082105,2020-01-02,20,B,11,21,11,10,FYJTYAA,WJC9I30,6RC0XUY,SS12NI,3926300000,CN,CN,0.0,FCN1,E,140.0,3500.0,0
32976299,2020-01-02,20,B,11,21,14,40,YAHFNQL,6A5LOE9,ZK8EHLJ,W6UCD9,8414599000,CN,CN,8.0,FCN1,Y,3240.0,207684.0,0
39643426,2020-01-02,10,B,11,26,21,40,NVHDD70,39TCICJ,8PVT5ZY,,6210401000,CN,CN,3.9,FCN1,Y,1182.0,57445.2,0
38843611,2020-01-02,40,B,11,21,11,40,DWNJQL8,6A5T73S,UNCISOP,,3105909000,JP,JP,6.5,C,E,57.2,1470.04,0
31512565,2020-01-02,20,B,11,21,11,40,NZYZ967,ZUGHJUL,OPCDOGH,,6204630000,CN,CN,13.0,A,E,1.7,111.86,0
83701584,2020-01-02,40,B,11,21,11,40,BZ072US,19VAKM2,7UXMIRC,,6204629000,CN,CN,7.8,E1,E,90.0,12627.000000000002,1
83150564,2020-01-02,20,B,11,11,11,40,N8XBQG4,GAR6WFR,4MQQXJ8,,6217100000,CN,CN,13.0,A,E,442.5,663.75,0
58239263,2020-01-02,33,B,11,21,43,40,OZB7KED,LAC5TAH,8279SGO,,2507001090,US,US,0.0,FUS1,B,21250.0,1083750.0,0
44208754,2020-01-02,30,B,11,21,11,10,FYJTYAA,JN1ZAHT,87TO3QR,,3506109000,US,US,0.0,FUS1,G,21.8,1981.62,1
23651003,2020-01-02,40,B,11,21,21,40,FWHQASL,17OZGBD,2AEHRAG,,4202322000,CN,CN,8.0,A,B,18.5,273.8,0
15731785,2020-01-02,30,B,11,21,18,40,OHE0O8U,E00ZX17,DSB1RF1,W6UCD9,5402321090,CN,CN,8.0,A,E,60.0,720.0,0
44323878,2020-01-02,20,B,11,21,11,40,U915W03,I8GNRZH,WL8KJMQ,,8424209000,CN,CN,0.0,FCN1,Y,480.0,1200.0,0
38081319,2020-01-02,20,B,11,21,11,40,43MSLZK,EK6IGA3,238WZN1,,5603910000,CN,CN,3.2,FCN1,E,2000.0,173200.0,1
73546006,2020-01-02,16,B,11,23,11,10,QX23EJV,C69PWN9,7H6Q5IA,,9405103000,IT,IT,8.0,A,B,44.6,2872.24,1
24688356,2020-01-02,40,B,94,21,43,10,82R4ZVJ,IRBBNTR,UAQQP6I,LM3SJ4,6307909000,CN,CN,10.0,A,E,92.4,212.52,1
35322177,2020-01-02,39,B,11,21,11,40,30KWO4D,4F7OIMW,QQP56B6,,6103420000,TW,TN,13.0,A,Y,1.0,1217.9,1
25178485,2020-01-02,20,B,11,21,11,10,E3Q8ABV,C9B163D,MY4J7WK,,8543909090,CN,CN,0.0,C,B,8.5,153.85000000000002,1
39401535,2020-01-02,20,B,11,21,11,40,DWNJQL8,UHD7PNT,IS8S5DC,,3924100000,JP,JP,6.5,C,E,105.5,147.7,1
14178888,2020-01-02,20,B,11,21,11,40,KWSE1HX,OON0EFV,,,710807000,CN,CN,27.0,A,G,95260.0,25262952.0,1
94028172,2020-01-02,40,B,11,21,11,40,DWNJQL8,9NEDDZ2,1WCFHZJ,,7113199000,JP,JP,8.0,A,B,0.5,1448.75,0
21646844,2020-01-02,40,B,11,21,11,10,U7IV9RE,895SEXG,NS1KQMU,MWIDNS,9503003919,CN,CN,4.8,FCN1,S,138.0,9232.2,0
17367498,2020-01-02,40,B,11,21,11,10,69Z0KLV,LTS62T7,2OQZJ37,,2834299000,CN,CN,0.0,FCN1,E,20000.0,2998000.0,0
61772244,2020-01-02,40,B,11,21,11,10,X2D9TDI,87E01ES,,,6302930000,CN,CN,5.2,FCN1,S,303.8,25914.14,0
99171557,2020-01-02,16,B,11,21,11,40,OQY4ZUC,FHK5A32,IS1YATG,MWIDNS,9405409000,CN,CN,8.0,A,Y,3.8,39.14,1
78858766,2020-01-02,20,B,11,21,11,10,DWNJQL8,CA9DX11,48DF3XD,,3902100000,JP,JP,6.5,C,E,325.0,37505.0,0
79085166,2020-01-02,40,B,11,21,11,40,MRCDA0F,XON4795,A7E1YHP,,8543702020,CN,CN,0.0,FCN1,Y,2991.0,879354.0,0
16066562,2020-01-02,21,B,11,21,14,30,2PDED6U,9DHKEX8,OSIRSCD,,6204630000,CN,CN,11.7,FCN1,E,3.0,197.4,0
94620319,2020-01-02,40,B,86,21,0,40,8AZ4A3I,O8FVGA6,4QC013K,MWIDNS,2827399000,KR,GB,5.5,C,G,0.5,166.55,0
63498142,2020-01-02,20,B,11,21,11,10,1XCM1XF,M5KYBBQ,,,7117199000,JP,IT,8.0,A,E,0.1,0.18,0
90459758,2020-01-02,40,B,11,26,11,10,FHCU3VO,PUD9O96,AFWKJPK,,9703001000,GB,GB,0.0,A,E,20.0,1100.0,0
13014186,2020-01-02,30,B,11,21,11,40,8FIQMFG,EPYEZ5W,UANFOW9,,3926909000,CN,CN,3.9,FCN1,E,413.9,248.34,0
59323718,2020-01-02,20,B,100,21,13,10,64KHD6T,V8NVZNE,QLBGH3C,MWIDNS,8487909090,KR,JP,8.0,A,B,0.3,143.28,1
21507595,2020-01-02,40,B,11,21,11,10,43MSLZK,SNB8WI2,KUBP2OQ,,2005991000,CN,CN,20.0,A,B,20400.0,1309680.0,0
76693146,2020-01-02,20,B,11,21,11,10,2F7JGCO,PAK8E37,,,8708910000,GB,PL,0.0,FEU1,G,4.0,351.6,1
89315329,2020-01-02,62,B,11,21,43,40,7GHJ33J,Y7K2P0D,QAQN6XP,,6302210000,CH,DE,13.0,A,E,60.0,50424.0,1
18261972,2020-01-02,33,B,11,14,11,10,5XHS2TE,XLXV3WJ,2PNN1LA,,9018201000,US,US,0.0,FUS1,S,310.0,1579822.0,0
79741245,2020-01-02,40,B,11,21,11,40,QDUSBFS,1VAMZ3D,K5BRJMP,W6UCD9,3204199000,JP,JP,8.0,A,G,200.0,521600.0,0
83854083,2020-01-02,16,B,59,21,11,40,SM89FYN,6AIEPUV,5IRPYC5,,4202199000,CN,CN,8.0,A,G,6.3,108.99,0
63383571,2020-01-02,20,B,11,21,11,40,AZI5L7O,UQS520K,23RIU88,,9506910000,CN,CN,3.2,FCN1,E,5651.0,76853.59999999999,0
24042643,2020-01-02,13,B,11,19,18,10,NYP99B9,BZC49CG,6YJ5BTT,GVKCEG,3926909000,CN,CN,6.5,C,B,73.0,43.8,0
64844343,2020-01-02,40,B,11,21,11,40,XFWEY92,3E4982W,57T7WB3,,8501101000,CN,CN,8.0,A,B,5.5,498.3,0
60265294,2020-01-02,14,B,11,21,14,10,8R629JR,AEGWPVZ,U258OTB,VZIZJJ,8536909010,JP,JP,0.0,CIT,E,71.1,13238.819999999998,0
40028258,2020-01-02,20,B,11,21,43,40,ZA03N3Z,T970977,47UR8NX,,3926909000,CN,CN,6.5,C,Y,24.0,14.4,1
14787223,2020-01-02,16,B,11,21,11,10,PF1L1IG,MKWWHH7,8IUC3GP,,910111000,CN,CN,377.3,W2,E,24000.0,4512000.0,0
62849760,2020-01-02,40,B,11,21,11,10,1XCM1XF,QMZPKFC,,,4911100000,CN,CN,0.0,A,E,1.0,0.7,0
34131669,2020-01-02,40,B,11,21,18,40,9EGGU66,JZX9JVP,ZCOOCHD,30GFAP,8418692090,CN,CN,0.0,FCN1,S,180.3,58705.68000000001,0
24079743,2020-01-02,16,B,11,21,11,40,NZYZ967,9R383FG,MWAI4PQ,,8708999000,VN,VN,8.0,A,E,2.9,20.3,0
91311530,2020-01-02,16,B,11,11,43,10,YQFTH32,LL0Y7TN,9TFXZ0W,,6211431000,CN,CN,13.0,A,G,2.8,145.04,0
19511196,2020-01-02,33,B,11,21,18,10,PF1L1IG,T3NTAKK,ZM1M56F,,4203299000,DE,CN,13.0,A,B,360.0,90684.0,0
99070537,2020-01-02,40,B,11,21,11,10,XGAIPZH,M8HU1OS,MN6GUJK,,6204440000,CN,CN,3.9,FCN1,G,10.0,16199.0,1
34009776,2020-01-02,40,B,11,21,11,50,XVX5U3F,QVFZAOD,4U2KHWR,MWIDNS,2008111000,CA,CA,15.0,FCA1,E,7484.4,1727399.52,0
53042719,2020-01-02,30,B,87,28,11,10,E9Q33XZ,K6TC3FF,BLZXLL4,MAD31N,4421100000,SE,RS,8.0,A,G,442.5,70977.0,0
73533061,2020-01-02,40,B,11,21,11,10,OZB7KED,SN4HL7M,,,4202999000,US,CN,8.0,A,Y,41.6,403.52,1
29658746,2020-01-02,40,B,92,21,11,40,K8W9S8E,XON4795,5BXUJBP,W6UCD9,703209000,CN,CN,360.0,W2,E,24000.0,5824800.0,1
57650024,2020-01-02,40,B,94,21,43,40,FAG093P,BQSI7QD,J84CUOE,,4302199010,ES,ES,0.0,FEU1,Y,17.0,124982.3,1
23282384,2020-01-02,16,B,11,21,11,40,M532G2P,J94VRP0,DS5NIVF,,2710195020,HK,QA,7.0,A,G,73980.0,27165456.0,0
36968031,2020-01-02,30,B,11,21,11,40,8OKYMB6,WX30ODF,U2GZS3H,,6304920000,CN,CN,13.0,A,G,1.0,460.2,0
73219193,2020-01-02,30,B,11,21,11,10,YQFTH32,48LCXBZ,GII9BRI,,9018129000,JP,KR,0.0,C,G,2.9,13770.65,1
71044983,2020-01-02,40,B,11,21,21,40,U8YJ1TN,RY10NRC,OOEBIPQ,,6102301000,ES,ES,0.0,FEU1,B,16.0,12153.6,0
86473270,2020-01-02,20,B,11,21,11,10,OZB7KED,RBPIYN8,CYAEFJY,,9403501000,CN,CN,0.0,C,E,9980.0,1599794.0,1
77294384,2020-01-02,40,B,11,21,11,10,OZB7KED,D18LP6I,18MTHW2,,9615111000,JP,JP,8.0,A,G,13.7,820.6299999999999,0
88736951,2020-01-02,33,B,29,28,14,40,IN763PF,GKLIYC0,GJQD6T0,GVKCEG,8413200000,CN,CN,8.0,A,Y,25.5,308.55,1
38724758,2020-01-02,40,B,89,21,43,10,FOVFD9M,KOXBK6H,YJHVYH5,,9403501000,FR,DE,0.0,FEU1,G,110.0,17633.0,0
51403726,2020-01-02,30,B,87,21,43,10,6S9XT46,3BAOIHP,YLSHCWD,,6505009029,CN,CN,8.0,A,N,1.0,3.7,0
26724357,2020-01-02,30,B,11,21,11,10,1U0VYZN,LSW3ZF8,EBAHJLA,,8506500000,JP,JP,8.0,A,G,20.0,1906.0,0
93703998,2020-01-02,152,B,11,21,11,40,4RRXV85,KHOWI5R,ENRO79J,MWIDNS,7616999090,ES,ES,0.0,FEU1,S,472.4,5905.0,0
75855283,2020-01-02,30,B,11,21,11,10,PF1L1IG,W2MRIVJ,41W8AHR,W6UCD9,8518210000,US,US,0.0,FUS1,G,128.0,1664.0,0
58436081,2020-01-02,16,B,11,21,43,10,SPONS2V,E9UL7HC,Z1FZTV1,W6UCD9,6110909000,IT,TR,13.0,A,E,0.4,1.52,1
71264756,2020-01-02,40,B,11,21,11,10,SPUZ923,Z2BMJ1E,HHXAYIW,,710807000,CN,CN,27.0,C,B,120000.0,31824000.0,0
